date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:06:52	18543/18543	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Dec%202021%2020:06:51%20GMT	https://topgoodstuff.com/hack/candy-crush-saga/553834731	C:/My%20Web%20Sites/ghs/topgoodstuff.com/hack/candy-crush-saga/553834731.html	(from )
15:06:53	24/24	---M--	200	added ('OK')	text/plain	date:Wed,%2022%20Apr%202020%2002:55:44%20GMT	https://topgoodstuff.com/robots.txt		(from )
15:06:54	1552/1552	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Dec%202021%2020:06:53%20GMT	https://topgoodstuff.com/hack/candy-crush-saga/img/fav/favicon-144.png	C:/My%20Web%20Sites/ghs/topgoodstuff.com/hack/candy-crush-saga/img/fav/favicon-144.png	(from https://topgoodstuff.com/hack/candy-crush-saga/553834731)
15:06:54	1552/1552	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Dec%202021%2020:06:54%20GMT	https://topgoodstuff.com/hack/candy-crush-saga/img/fav/browserconfig.xml	C:/My%20Web%20Sites/ghs/topgoodstuff.com/hack/candy-crush-saga/img/fav/browserconfig.xml	(from https://topgoodstuff.com/hack/candy-crush-saga/553834731)
15:06:55	56842/56842	---MCZ	200	added ('OK')	text/css	etag:W/%2241d394990448b2c2b1afe840e837dc8e%22	https://use.fontawesome.com/releases/v5.11.2/css/all.css	C:/My%20Web%20Sites/ghs/use.fontawesome.com/releases/v5.11.2/css/all.css	(from https://topgoodstuff.com/hack/candy-crush-saga/553834731)
15:06:56	1552/1552	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Dec%202021%2020:06:55%20GMT	https://topgoodstuff.com/hack/candy-crush-saga/img/fav/favicon.png	C:/My%20Web%20Sites/ghs/topgoodstuff.com/hack/candy-crush-saga/img/fav/favicon.png	(from https://topgoodstuff.com/hack/candy-crush-saga/553834731)
15:06:56	1552/1552	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Dec%202021%2020:06:56%20GMT	https://topgoodstuff.com/hack/candy-crush-saga/img/fav/favicon-152.png	C:/My%20Web%20Sites/ghs/topgoodstuff.com/hack/candy-crush-saga/img/fav/favicon-152.png	(from https://topgoodstuff.com/hack/candy-crush-saga/553834731)
15:06:56	1552/1552	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Dec%202021%2020:06:56%20GMT	https://topgoodstuff.com/hack/candy-crush-saga/img/fav/apple-touch-icon.png	C:/My%20Web%20Sites/ghs/topgoodstuff.com/hack/candy-crush-saga/img/fav/apple-touch-icon.png	(from https://topgoodstuff.com/hack/candy-crush-saga/553834731)
15:06:57	61/61	---M--	200	added ('OK')	text/css	date:Thu,%2030%20Apr%202020%2018:17:38%20GMT	https://topgoodstuff.com/generator_assets/css/app.css	C:/My%20Web%20Sites/ghs/topgoodstuff.com/generator_assets/css/app.css	(from https://topgoodstuff.com/hack/candy-crush-saga/553834731)
15:06:58	170035/170035	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Oct%202021%2021:22:06%20GMT	https://is3-ssl.mzstatic.com/image/thumb/Purple113/v4/f5/54/36/f5543625-b669-27ff-36ce-b54b99703735/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-85-220.png/1024x1024bb.jpg	C:/My%20Web%20Sites/ghs/is3-ssl.mzstatic.com/image/thumb/Purple113/v4/f5/54/36/f5543625-b669-27ff-36ce-b54b99703735/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-85-220.png/1024x1024bb.jpg	(from https://topgoodstuff.com/hack/candy-crush-saga/553834731)
